							
"Inst
 Code"	Institute Name	Place	"Dist 
Code"	College Type	Year of Estab	Branch Name	"BC_D 
GIRLS"
BITN	BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)	NARSAMPET	WGL	PVT	2001	MECHANICAL ENGINEERING	156852
BOMA	BOMMA INST OF TECHNOLOGY AND SCI	KHAMMAM	KHM	PVT	2006	COMPUTER SCIENCE AND ENGINEERING	153508
BOMA	BOMMA INST OF TECHNOLOGY AND SCI	KHAMMAM	KHM	PVT	2006	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	144828
BOMA	BOMMA INST OF TECHNOLOGY AND SCI	KHAMMAM	KHM	PVT	2006	ELECTRONICS AND COMMUNICATION ENGINEERING	156852
BOSE	ANU BOSE INSTT OF TECHNOLOGY	PALONCHA	KGM	PVT	2008	CIVIL ENGINEERING	152716
BOSE	ANU BOSE INSTT OF TECHNOLOGY	PALONCHA	KGM	PVT	2008	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	148220
BOSE	ANU BOSE INSTT OF TECHNOLOGY	PALONCHA	KGM	PVT	2008	COMPUTER SCIENCE AND ENGINEERING	153065
BOSE	ANU BOSE INSTT OF TECHNOLOGY	PALONCHA	KGM	PVT	2008	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	150591
BOSE	ANU BOSE INSTT OF TECHNOLOGY	PALONCHA	KGM	PVT	2008	ELECTRONICS AND COMMUNICATION ENGINEERING	134879
BOSE	ANU BOSE INSTT OF TECHNOLOGY	PALONCHA	KGM	PVT	2008	ELECTRICAL AND ELECTRONICS ENGINEERING	148025
BOSE	ANU BOSE INSTT OF TECHNOLOGY	PALONCHA	KGM	PVT	2008	MECHANICAL ENGINEERING	156852
BOSE	ANU BOSE INSTT OF TECHNOLOGY	PALONCHA	KGM	PVT	2008	MINING ENGINEERING	156852
BREW	BHOJREDDY ENGINEERING COLLEGE FOR WOMEN	SAIDABAD	HYD	PVT	1997	COMPUTER SCIENCE AND ENGINEERING	25328
BREW	BHOJREDDY ENGINEERING COLLEGE FOR WOMEN	SAIDABAD	HYD	PVT	1997	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	27987
BREW	BHOJREDDY ENGINEERING COLLEGE FOR WOMEN	SAIDABAD	HYD	PVT	1997	ELECTRONICS AND COMMUNICATION ENGINEERING	56251
BREW	BHOJREDDY ENGINEERING COLLEGE FOR WOMEN	SAIDABAD	HYD	PVT	1997	ELECTRICAL AND ELECTRONICS ENGINEERING	142753
BREW	BHOJREDDY ENGINEERING COLLEGE FOR WOMEN	SAIDABAD	HYD	PVT	1997	INFORMATION TECHNOLOGY	39517
BRIG	BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS	HAYATHNAGAR	RR	PVT	2009	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	121778
BRIG	BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS	HAYATHNAGAR	RR	PVT	2009	CIVIL ENGINEERING	156852
